Metric	Gene Count Bin	Average Gene Count	Median Gene Count	StdDev Gene Count	Min Gene Count	Max Gene Count	# Considered Pathways	Rank 1	Rank 2	Ranks 3-5	Ranks 6-25	Ranks >25	Rank 1-3	Rank 1-5	No Rank	Rank 1 (%)	Rank 2 (%)	Ranks 3-5 (%)	Ranks 6-25 (%)	Ranks >25 (%)	Rank 1-3 (%)	Rank 1-5 (%)	No Rank (%)	Average Adj P-value (Expected Pathway)	Median Adj P-value (Expected Pathway)	Std Dev Adj P-value (Expected Pathway)
All Genes	0-10	9.8	10	0.39999999999999997	9	10	5	4	0	0	1	0	4	4	0	80.00	0.00	0.00	20.00	0.00	80.00	80.00	0.00	0.0382	0.0000	0.0764
All Genes	11-20	15.454545454545455	15	2.3105936412979697	11	20	33	32	1	0	0	0	33	33	0	96.97	3.03	0.00	0.00	0.00	100.00	100.00	0.00	0.0009	0.0000	0.0054
All Genes	21-30	25.166666666666668	25	2.7767458400648515	21	30	42	27	10	3	2	0	38	40	0	64.29	23.81	7.14	4.76	0.00	90.48	95.24	0.00	0.0000	0.0000	0.0002
All Genes	31-40	34.23076923076923	34	2.9911110915728587	31	40	26	22	2	2	0	0	25	26	0	84.62	7.69	7.69	0.00	0.00	96.15	100.00	0.00	0.0000	0.0000	0.0000
All Genes	41-50	45.07692307692308	44	2.86790028958573	41	50	13	12	0	1	0	0	12	13	0	92.31	0.00	7.69	0.00	0.00	92.31	100.00	0.00	0.0000	0.0000	0.0000
All Genes	51-60	54.166666666666664	54	1.950783318453271	52	58	6	4	1	1	0	0	5	6	0	66.67	16.67	16.67	0.00	0.00	83.33	100.00	0.00	0.0000	0.0000	0.0000
All Genes	61-70	65.1	66	1.6401219466856725	63	67	10	10	0	0	0	0	10	10	0	100.00	0.00	0.00	0.00	0.00	100.00	100.00	0.00	0.0000	0.0000	0.0000
All Genes	71-80	76.0	77	2.5385910352879693	72	80	9	6	1	0	0	2	7	7	0	66.67	11.11	0.00	0.00	22.22	77.78	77.78	0.00	0.0006	0.0000	0.0016
All Genes	81-90	83.25	83	1.7853571071357126	81	86	4	3	1	0	0	0	4	4	0	75.00	25.00	0.00	0.00	0.00	100.00	100.00	0.00	0.0000	0.0000	0.0000
All Genes	91-100	100.0	100	0.0	100	100	1	0	0	1	0	0	1	1	0	0.00	0.00	100.00	0.00	0.00	100.00	100.00	0.00	0.0000	0.0000	0.0000
All Genes	gt_100	219.3181818181818	179	119.41329542377996	102	633	44	32	5	5	2	0	40	42	0	72.73	11.36	11.36	4.55	0.00	90.91	95.45	0.00	0.0000	0.0000	0.0000
