Article Count	Found Count	Not Found Count	Found Pathway Mean Length	Not Found Pathway Mean Length	Found Pathway Median Length	Not Found Pathway Median Length	Found Median P-Value	Found Mean P-Value	Found Median Rank	Found Mean Rank	Found Std Dev Rank	Found Std Dev Length
0	2021	200	124.02028698664027	118.425	104.0	105.0	0.00128396039556435	0.025424506351931553	3.0	10.056902523503217	15.293052460813914	86.51040734116006
10	1727	302	125.48581354950781	112.49668874172185	106.0	88.0	0.01324421187308955	0.07246255638014726	4.0	10.701795020266358	15.877891237440624	87.3525289385123
20	1691	261	125.56416321703134	115.49808429118774	104.0	98.0	0.0102712800815226	0.0715558087289409	4.0	10.55056179775281	15.336471342342488	87.2697911237085
30	1651	232	125.19987886129618	123.0	104.0	106.0	0.0094345795938856	0.07158869274981933	4.0	10.687462144155058	15.2543432556582	87.12274183839638
40	1593	241	125.13810420590082	122.72199170124482	104.0	104.0	0.0100532684122024	0.07019457104066364	4.0	11.123038292529818	16.427354249768953	86.76980903211113
50	1563	230	125.06781829814459	124.79565217391304	104.0	105.0	0.00956997395714375	0.07269072551265908	4.0	11.138835572616763	16.1998338754848	86.83785798574324
100	1453	219	124.41156228492774	126.68949771689498	104.0	113.0	0.00898282389815015	0.0695202999588622	4.0	10.712319339298004	16.089105991335614	87.02620598060403
200	1317	184	124.25968109339408	120.80434782608695	104.0	110.5	0.009244669055310201	0.0676838915902928	4.0	10.229309035687168	14.735890388966666	86.99205667658534
300	1251	173	124.57553956834532	127.08670520231213	104.0	124.0	0.0097125933058574	0.06957997283702934	4.0	10.450839328537171	15.152180743871954	86.82010648005814
400	1199	157	125.09174311926606	125.4267515923567	104.0	124.0	0.009570922454599201	0.07087586184418057	4.0	10.972477064220184	16.10965377324279	87.73223370916796
500	1140	149	125.63333333333334	123.40939597315436	106.0	114.0	0.0108289409106559	0.07286654599375698	4.0	11.478070175438596	17.25546449957337	87.49144061149694
600	1098	133	125.3224043715847	121.76691729323308	106.0	124.0	0.0111067465606788	0.07407761818093285	4.0	12.342440801457196	18.653762252673413	86.95589190274606
700	1045	137	125.00669856459331	113.62043795620438	106.0	108.0	0.0106542317154475	0.07328347681167272	4.0	12.104306220095694	17.598644546323026	86.6864309532241
800	1014	132	124.77712031558185	110.8409090909091	106.0	97.0	0.01096538390388	0.07290481959161864	4.0	12.059171597633137	17.498962025461704	86.26051378293589
900	972	137	124.89609053497942	110.5985401459854	106.0	100.0	0.0082034255991556	0.0711750152443615	4.0	12.092592592592593	17.507911016549215	86.90275650816159
1000	403	77	127.95533498759305	111.14285714285714	107.0	92.0	0.0197021614685356	0.08408171051177434	6.0	15.292803970223325	19.34238824225729	85.18486183965572
